game,link,platforms,difficulty,time_needed,platinum_rarity,views,guide_rating,guide_rating_count,user_favourites
Call of Duty: World at War,https://psnprofiles.com/guide/68-call-of-duty-world-at-war-map-2-dlc-trophy-guide,PS3,8/10,10,,"18,722",5/5,19,11
Mega Man 10,https://psnprofiles.com/guide/58-mega-man-10-trophy-guide,PS3,8/10,10,,"13,393",5/5,5,24
Race The Sun,https://psnprofiles.com/guide/5414-race-the-sun-trophy-guide,PS4 PS3 Vita,8/10,10,,"12,522",4/5,15,15
DuckTales,https://psnprofiles.com/guide/3567-ducktales-trophy-guide,PS3,8/10,11,,"21,588",5/5,11,50
Jurassic World Evolution,https://psnprofiles.com/guide/15341-jurassic-world-evolution-challenge-mode-dlc-trophy-guide,PS4,8/10,12,,"3,118",,0,1
Don't Starve,https://psnprofiles.com/guide/531-dont-starve-trophy-guide,PS4,8/10,12,,"39,253",4/5,12,69
Darkest Dungeon,https://psnprofiles.com/guide/9035-darkest-dungeon-color-of-madness-dlc-trophy-guide,PS4 Vita,8/10,12,,"12,847",,0,7
Darkest Dungeon,https://psnprofiles.com/guide/8973-darkest-dungeon-crimson-court-dlc-trophy-guide,PS4 Vita,8/10,12,,"12,373",5/5,5,9
Muramasa Rebirth,https://psnprofiles.com/guide/661-muramasa-rebirth-a-cause-to-daikon-for-dlc-trophy-guide,Vita,8/10,14,,"9,477",5/5,6,20
Back 4 Blood,https://psnprofiles.com/guide/15220-back-4-blood-children-of-the-worm-dlc-trophy-guide,PS5,8/10,15,,"10,476",4/5,6,3
PixelJunk Monsters,https://psnprofiles.com/guide/7149-pixeljunk-monsters-trophy-guide,PS3,8/10,15,,"12,125",,0,2
The Swindle,https://psnprofiles.com/guide/3915-the-swindle-trophy-guide,PS4 PS3 Vita,8/10,15,,"21,941",5/5,5,33
Wanderjahr,https://psnprofiles.com/guide/8821-wanderjahr-trophy-guide,PS4,8/10,15,,"3,917",,0,5
Frostpunk,https://psnprofiles.com/guide/12546-frostpunk-the-last-autumn-dlc-trophy-guide,PS4,8/10,20,,"13,609",5/5,5,2
Victor Vran,https://psnprofiles.com/guide/12962-victor-vran-mot%C3%B6rhead-through-the-ages-dlc-trophy-guide,PS4,8/10,20,,"5,761",,0,1
Max Payne,https://psnprofiles.com/guide/16621-max-payne-trophy-guide,PS4,8/10,25,,"12,718",,0,10
Overwatch 2,https://psnprofiles.com/guide/15331-overwatch-2-dlc-pack-3-dlc-trophy-guide,PS4,8/10,25,,"11,452",5/5,5,8
Darkstalkers Resurrection,https://psnprofiles.com/guide/13996-darkstalkers-resurrection-trophy-guide,PS3,8/10,30,,"7,726",4/5,6,7
Overwatch 2,https://psnprofiles.com/guide/7785-overwatch-2-dlc-pack-2-dlc-trophy-guide,PS4,8/10,30,,"17,668",4/5,7,7
Don't Starve,https://psnprofiles.com/guide/5092-dont-starve-trophy-guide,Vita,8/10,30,,"14,095",,0,10
The Last Guy,https://psnprofiles.com/guide/5791-the-last-guy-trophy-guide,PS3,8/10,30,,"11,307",,0,14
Kingdom Hearts III,https://psnprofiles.com/guide/9656-kingdom-hearts-iii-re-mind-dlc-trophy-guide,PS4,8/10,30,,"107,229",5/5,14,61
Fat Princess,https://psnprofiles.com/guide/876-fat-princess-trophy-guide,PS3,8/10,30,,"15,319",5/5,7,21
Five Nights at Freddy's 5: Sister Location,https://psnprofiles.com/guide/19217-five-nights-at-freddys-5-sister-location-trophy-guide,PS4,8/10,35,,"1,852",,0,2
Retro/Grade,https://psnprofiles.com/guide/6267-retrograde-trophy-guide,PS3,8/10,35,,"6,997",,0,12
The Binding of Isaac: Rebirth,https://psnprofiles.com/guide/10240-the-binding-of-isaac-rebirth-the-binding-of-isaac-afterbirth-dlc-trophy-guide,PS4 Vita,8/10,50,,"25,324",4/5,5,6
Destiny,https://psnprofiles.com/guide/3344-destiny-the-taken-king-dlc-trophy-guide,PS4 PS3,8/10,70,,"32,729",5/5,13,40
