game,link,platforms,difficulty,time_needed,platinum_rarity,views,guide_rating,guide_rating_count,user_favourites
Constructor,https://psnprofiles.com/guide/13821-constructor-trophy-guide,PS4,3/10,15,11.45%,"4,338",,0,7
Incredible Mandy,https://psnprofiles.com/guide/14660-incredible-mandy-trophy-guide,PS4,3/10,15,11.63%,"2,658",,0,3
Manual Samuel,https://psnprofiles.com/guide/5481-manual-samuel-trophy-guide,PS4,3/10,3,11.64%,"28,179",3/5,22,44
Sword Art Online: Lost Song,https://psnprofiles.com/guide/2904-sword-art-online-lost-song-trophy-guide,PS4 PS3 Vita,3/10,50,11.65%,"57,251",4/5,23,100
Overcooked! All You Can Eat,https://psnprofiles.com/guide/11239-overcooked-all-you-can-eat-trophy-guide,PS5,3/10,15,11.77%,"115,866",5/5,25,82
Thief Simulator,https://psnprofiles.com/guide/16502-thief-simulator-trophy-guide,PS4,3/10,25,11.79%,"16,809",5/5,5,18
BioShock,https://psnprofiles.com/guide/5341-bioshock-trophy-guide,PS4,3/10,15,11.90%,"213,886",5/5,69,419
PGA Tour 2K23,https://psnprofiles.com/guide/15631-pga-tour-2k23-trophy-guide,PS5,3/10,20,11.95%,"95,365",5/5,14,47
Fallout 3,https://psnprofiles.com/guide/15637-fallout-3-trophy-guide,PS3,3/10,40,11.98%,"22,700",5/5,16,60
Deadly Premonition: The Director's Cut,https://psnprofiles.com/guide/3272-deadly-premonition-the-directors-cut-trophy-guide,PS3,3/10,40,12.01%,"38,761",5/5,16,89
Surviving the Aftermath,https://psnprofiles.com/guide/16056-surviving-the-aftermath-trophy-guide,PS4,3/10,80,12.01%,"16,731",,0,6
Grand Theft Auto: San Andreas,https://psnprofiles.com/guide/5722-grand-theft-auto-san-andreas-trophy-guide,PS4,3/10,35,12.07%,"194,367",5/5,35,240
Claire,https://psnprofiles.com/guide/6064-claire-trophy-guide,PS4,3/10,3,12.08%,"95,927",4/5,13,100
Minecraft,https://psnprofiles.com/guide/1643-minecraft-trophy-guide,PS4,3/10,35,12.24%,"300,222",4/5,81,382
Metal Gear Solid 3: Snake Eater,https://psnprofiles.com/guide/5449-metal-gear-solid-3-snake-eater-trophy-guide,PS3,3/10,10,12.26%,"157,568",5/5,73,211
Saints Row,https://psnprofiles.com/guide/15117-saints-row-trophy-guide,PS5,3/10,45,12.26%,"140,957",4/5,24,93
Fairy Fencer F: Refrain Chord,https://psnprofiles.com/guide/19347-fairy-fencer-f-refrain-chord-trophy-guide,PS5,3/10,40,12.29%,"2,477",,0,5
CrossCode,https://psnprofiles.com/guide/13136-crosscode-trophy-guide,PS5,3/10,30,12.31%,"20,279",,0,19
Super Exploding Zoo!,https://psnprofiles.com/guide/2912-super-exploding-zoo-trophy-guide,PS4 Vita,3/10,6,12.32%,"32,330",5/5,48,109
Need for Speed Unbound,https://psnprofiles.com/guide/15674-need-for-speed-unbound-trophy-guide,PS5,3/10,40,12.39%,"124,190",5/5,26,104
JoJo's Bizarre Adventure: All-Star Battle R,https://psnprofiles.com/guide/15486-jojos-bizarre-adventure-all-star-battle-r-trophy-guide,PS5,3/10,25,12.42%,"35,513",5/5,7,29
Gintama Rumble,https://psnprofiles.com/guide/6982-gintama-rumble-trophy-guide,PS4 Vita,3/10,50,12.43%,"28,896",,0,16
Werewolf: The Apocalypse - Earthblood,https://psnprofiles.com/guide/17595-werewolf-the-apocalypse-earthblood-trophy-guide,PS4,3/10,10,12.44%,"10,732",,0,11
Metro 2033 Redux,https://psnprofiles.com/guide/18450-metro-2033-redux-trophy-guide,PS4,3/10,17,12.57%,"6,986",4/5,5,13
Metro 2033 Redux,https://psnprofiles.com/guide/3847-metro-2033-redux-trophy-guide,PS4,3/10,20,12.57%,"210,180",5/5,57,260
Typoman,https://psnprofiles.com/guide/8873-typoman-trophy-guide,PS4,3/10,12,12.61%,"15,455",,0,16
How to Train Your Dragon,https://psnprofiles.com/guide/13929-how-to-train-your-dragon-trophy-guide,PS3,3/10,24,12.61%,"4,202",,0,4
Assassin's Creed Valhalla,https://psnprofiles.com/guide/11538-assassins-creed-valhalla-trophy-guide,PS4,3/10,100,12.63%,"517,855",5/5,34,511
PowerWash Simulator,https://psnprofiles.com/guide/16270-powerwash-simulator-trophy-guide,PS5,3/10,40,12.64%,"241,354",5/5,25,112
Dysmantle,https://psnprofiles.com/guide/17716-dysmantle-trophy-guide,PS5,3/10,55,12.64%,"17,915",,0,22
Middle-earth: Shadow of War,https://psnprofiles.com/guide/6615-middle-earth-shadow-of-war-trophy-guide,PS4,3/10,40,12.67%,"333,440",5/5,79,407
We Dare,https://psnprofiles.com/guide/4720-we-dare-trophy-guide,PS3,3/10,7,12.70%,"3,817",,0,6
Detroit: Become Human,https://psnprofiles.com/guide/7464-detroit-become-human-trophy-guide,PS4,3/10,20,12.87%,"544,282",5/5,227,827
Katamari Damacy Reroll,https://psnprofiles.com/guide/11881-katamari-damacy-reroll-trophy-guide,PS4,3/10,20,12.88%,"46,839",5/5,43,59
Blade Arcus Rebellion from Shining,https://psnprofiles.com/guide/10203-blade-arcus-rebellion-from-shining-trophy-guide,PS4,3/10,25,12.89%,"4,762",,0,7
Hitman 3,https://psnprofiles.com/guide/14561-hitman-3-trophy-guide,PS5,3/10,47,12.91%,"21,980",5/5,14,53
LEGO Indiana Jones 2: The Adventure Continues,https://psnprofiles.com/guide/8635-lego-indiana-jones-2-the-adventure-continues-trophy-guide,PS3,3/10,25,12.95%,"51,263",3/5,14,45
Eiyuu Senki: The World Conquest,https://psnprofiles.com/guide/4960-eiyuu-senki-the-world-conquest-trophy-guide,PS3,3/10,40,12.97%,"13,518",4/5,6,17
Moe Chronicle,https://psnprofiles.com/guide/3475-moe-chronicle-trophy-guide,Vita,3/10,80,13.03%,"16,639",5/5,6,28
Sly Cooper: Thieves in Time,https://psnprofiles.com/guide/507-sly-cooper-thieves-in-time-trophy-guide,PS3,3/10,20,13.09%,"106,540",5/5,50,208
Killzone,https://psnprofiles.com/guide/14943-killzone-trophy-guide,PS3,3/10,25,13.11%,"15,278",5/5,9,22
Dynasty Warriors 9,https://psnprofiles.com/guide/9835-dynasty-warriors-9-trophy-guide,PS4,3/10,80,13.11%,"54,704",5/5,7,27
Samurai Shodown,https://psnprofiles.com/guide/8882-samurai-shodown-trophy-guide,PS4,3/10,10,13.14%,"21,980",4/5,7,15
DreamWorks All-Star Kart Racing,https://psnprofiles.com/guide/18907-dreamworks-all-star-kart-racing-trophy-guide,PS5,3/10,40,13.14%,"4,255",,0,6
One Piece: Pirate Warriors 2,https://psnprofiles.com/guide/4599-one-piece-pirate-warriors-2-trophy-guide,PS3,3/10,55,13.14%,"27,687",3/5,10,21
Stories: The Path of Destinies,https://psnprofiles.com/guide/4303-stories-the-path-of-destinies-trophy-guide,PS4,3/10,15,13.22%,"63,908",4/5,47,130
Grand Theft Auto: Vice City,https://psnprofiles.com/guide/14753-grand-theft-auto-vice-city-trophy-guide,PS5,3/10,45,13.37%,"129,719",5/5,18,117
Destroy All Humans!,https://psnprofiles.com/guide/5265-destroy-all-humans-trophy-guide,PS4,3/10,15,13.40%,"180,219",5/5,28,162
Far Cry 5,https://psnprofiles.com/guide/7339-far-cry-5-trophy-guide,PS4,3/10,25,13.43%,"321,674",5/5,88,404
Unholy Heights,https://psnprofiles.com/guide/5616-unholy-heights-trophy-guide,PS4,3/10,12,13.46%,"9,063",5/5,5,12
Shovel Knight: Specter of Torment,https://psnprofiles.com/guide/17074-shovel-knight-specter-of-torment-trophy-guide,PS4,3/10,25,13.51%,"3,218",,0,5
Yaga,https://psnprofiles.com/guide/10169-yaga-trophy-guide,PS4,3/10,15,13.57%,"14,254",5/5,5,11
Shantae and the Pirate's Curse,https://psnprofiles.com/guide/4313-shantae-and-the-pirates-curse-trophy-guide,PS4,3/10,10,13.62%,"30,582",5/5,14,42
Sniper Ghost Warrior 3,https://psnprofiles.com/guide/9333-sniper-ghost-warrior-3-trophy-guide,PS4,3/10,15,13.75%,"45,977",4/5,14,44
Omori,https://psnprofiles.com/guide/14793-omori-trophy-guide,PS4,3/10,45,13.76%,"31,061",4/5,15,33
LEGO Marvel Super Heroes,https://psnprofiles.com/guide/3205-lego-marvel-super-heroes-trophy-guide,PS3,3/10,40,13.77%,"114,280",5/5,19,105
Banishers: Ghosts of New Eden,https://psnprofiles.com/guide/18783-banishers-ghosts-of-new-eden-trophy-guide,PS5,3/10,40,13.79%,"20,874",5/5,7,25
Death Stranding,https://psnprofiles.com/guide/9355-death-stranding-trophy-guide,PS4,3/10,100,13.80%,"456,059",5/5,128,603
Yasai Ninja,https://psnprofiles.com/guide/4846-yasai-ninja-trophy-guide,PS4,3/10,12,13.81%,"11,901",,0,11
魔法科高校の劣等生 Out of Order,https://psnprofiles.com/guide/3892-%E9%AD%94%E6%B3%95%E7%A7%91%E9%AB%98%E6%A0%A1%E3%81%AE%E5%8A%A3%E7%AD%89%E7%94%9F-out-of-order-trophy-guide,Vita,3/10,20,13.94%,"5,777",,0,15
Dengeki Bunko: Fighting Climax Ignition,https://psnprofiles.com/guide/4101-dengeki-bunko-fighting-climax-ignition-trophy-guide,PS4 PS3 Vita,3/10,6,14.00%,"15,449",5/5,5,23
Shining Resonance Refrain,https://psnprofiles.com/guide/7697-shining-resonance-refrain-trophy-guide,PS4,3/10,50,14.00%,"72,777",5/5,12,47
Harry Potter and the Deathly Hallows - Part 2,https://psnprofiles.com/guide/3464-harry-potter-and-the-deathly-hallows-part-2-trophy-guide,PS3,3/10,15,14.07%,"19,059",5/5,10,22
BlazBlue: Cross Tag Battle,https://psnprofiles.com/guide/7513-blazblue-cross-tag-battle-trophy-guide,PS4,3/10,7,14.12%,"46,314",3/5,27,20
Okami HD,https://psnprofiles.com/guide/4520-okami-hd-trophy-guide,PS4 PS3,3/10,60,14.12%,"116,000",5/5,37,155
Woodle Tree 2 Deluxe+,https://psnprofiles.com/guide/12212-woodle-tree-2-deluxe-trophy-guide,PS4,3/10,50,14.13%,"14,865",,0,7
Zone of the Enders: The 2nd Runner HD Edition,https://psnprofiles.com/guide/7511-zone-of-the-enders-the-2nd-runner-hd-edition-trophy-guide,PS3,3/10,10,14.14%,"56,323",3/5,24,42
Grand Theft Auto III,https://psnprofiles.com/guide/13382-grand-theft-auto-iii-trophy-guide,PS4,3/10,25,14.25%,"62,030",5/5,26,82
Saturday Morning RPG,https://psnprofiles.com/guide/3991-saturday-morning-rpg-trophy-guide,PS4 Vita,3/10,15,14.31%,"13,808",4/5,13,37
Alice: Madness Returns,https://psnprofiles.com/guide/1273-alice-madness-returns-trophy-guide,PS3,3/10,20,14.32%,"57,180",4/5,33,126
Watch Dogs: Legion,https://psnprofiles.com/guide/11111-watch-dogs-legion-trophy-guide,PS4,3/10,40,14.33%,"229,163",4/5,43,281
Dungeons 2,https://psnprofiles.com/guide/8261-dungeons-2-trophy-guide,PS4,3/10,35,14.47%,"16,902",4/5,5,13
MLB The Show 21,https://psnprofiles.com/guide/12098-mlb-the-show-21-trophy-guide,PS5,3/10,30,14.48%,"10,462",3/5,7,14
Unravel,https://psnprofiles.com/guide/3978-unravel-trophy-guide,PS4,3/10,9,14.51%,"123,574",5/5,53,239
Blair Witch,https://psnprofiles.com/guide/10434-blair-witch-trophy-guide,PS4,3/10,10,14.53%,"60,438",5/5,8,36
Outcast: Second Contact,https://psnprofiles.com/guide/6696-outcast-second-contact-trophy-guide,PS4,3/10,15,14.60%,"41,982",4/5,5,21
Torchlight 2,https://psnprofiles.com/guide/10349-torchlight-2-trophy-guide,PS4,3/10,65,14.65%,"37,903",5/5,8,27
Prison Break,https://psnprofiles.com/guide/10509-prison-break-trophy-guide,PS3,3/10,8,14.67%,"12,269",4/5,5,18
Far Cry 6,https://psnprofiles.com/guide/13040-far-cry-6-trophy-guide,PS4,3/10,30,14.71%,"395,530",4/5,37,329
Metal Max Xeno,https://psnprofiles.com/guide/8600-metal-max-xeno-trophy-guide,PS4,3/10,60,14.72%,"19,983",,0,15
Silent Hill 3 HD,https://psnprofiles.com/guide/64-silent-hill-3-hd-trophy-guide,PS3,3/10,10,14.75%,"40,659",5/5,20,70
WRC 5,https://psnprofiles.com/guide/4519-wrc-5-trophy-guide,PS4,3/10,25,14.76%,"38,596",4/5,11,35
Orten Was The Case,https://psnprofiles.com/guide/18181-orten-was-the-case-trophy-guide,PS5,3/10,6,14.81%,"1,761",,0,3
MotoGP 13,https://psnprofiles.com/guide/993-motogp-13-trophy-guide,Vita,3/10,25,14.81%,"11,394",4/5,12,12
God of War III,https://psnprofiles.com/guide/2007-god-of-war-iii-trophy-guide,PS3,3/10,15,14.83%,"79,819",5/5,35,205
Hardspace: Shipbreaker,https://psnprofiles.com/guide/16522-hardspace-shipbreaker-trophy-guide,PS5,3/10,40,14.93%,"27,257",4/5,10,19
Corpse Party: Blood Drive,https://psnprofiles.com/guide/3443-corpse-party-blood-drive-trophy-guide,Vita,3/10,25,14.98%,"18,912",4/5,9,47
Saints Row: The Third,https://psnprofiles.com/guide/12362-saints-row-the-third-trophy-guide,PS4,3/10,30,15.01%,"163,993",4/5,18,114
Sleeping Dogs: Definitive Edition,https://psnprofiles.com/guide/4660-sleeping-dogs-definitive-edition-trophy-guide,PS4,3/10,30,15.05%,"248,440",5/5,26,358
Gravity Rush 2,https://psnprofiles.com/guide/5802-gravity-rush-2-trophy-guide,PS4,3/10,40,15.05%,"136,330",4/5,56,203
Killzone 3 Multiplayer,https://psnprofiles.com/guide/186-killzone-3-multiplayer-trophy-guide,PS3,3/10,25,15.07%,"11,068",,0,17
Destroy All Humans! 2,https://psnprofiles.com/guide/5373-destroy-all-humans-2-trophy-guide,PS4,3/10,15,15.08%,"83,423",5/5,10,95
Romancelvania,https://psnprofiles.com/guide/16454-romancelvania-trophy-guide,PS5,3/10,25,15.10%,"6,857",,0,4
Final Fantasy Type-0 HD,https://psnprofiles.com/guide/2560-final-fantasy-type-0-hd-trophy-guide,PS4,3/10,40,15.11%,"114,274",5/5,68,265
Far Cry 4,https://psnprofiles.com/guide/2088-far-cry-4-trophy-guide,PS4,3/10,25,15.14%,"274,043",5/5,64,440
CyberHive,https://psnprofiles.com/guide/15656-cyberhive-trophy-guide,PS4,3/10,25,15.15%,"2,988",,0,1
Biomutant,https://psnprofiles.com/guide/12313-biomutant-trophy-guide,PS4,3/10,30,15.16%,"162,959",5/5,27,189
Destroy All Humans! Clone Carnage,https://psnprofiles.com/guide/15574-destroy-all-humans-clone-carnage-trophy-guide,PS4,3/10,7,15.17%,"24,753",4/5,9,18
Visage,https://psnprofiles.com/guide/11125-visage-trophy-guide,PS4,3/10,20,15.17%,"43,967",4/5,6,19
Top Racer Collection,https://psnprofiles.com/guide/19051-top-racer-collection-trophy-guide,PS5,3/10,25,15.17%,"2,426",,0,2
Aegis of Earth: Protonovus Assault,https://psnprofiles.com/guide/4596-aegis-of-earth-protonovus-assault-trophy-guide,PS4 PS3 Vita,3/10,40,15.18%,"20,335",4/5,8,29
Monark,https://psnprofiles.com/guide/13834-monark-trophy-guide,PS5,3/10,60,15.33%,"30,337",5/5,7,33
Wayward Strand,https://psnprofiles.com/guide/15835-wayward-strand-trophy-guide,PS5,3/10,20,15.38%,"3,269",,0,3
SNK Heroines: Tag Team Frenzy,https://psnprofiles.com/guide/9218-snk-heroines-tag-team-frenzy-trophy-guide,PS4,3/10,15,15.40%,"11,584",,0,7
NieR Replicant ver.1.22474487139...,https://psnprofiles.com/guide/12106-nier-replicant-ver122474487139-trophy-guide,PS4,3/10,70,15.43%,"218,001",5/5,36,136
Psychonauts,https://psnprofiles.com/guide/7672-psychonauts-trophy-guide,PS4,3/10,20,15.48%,"121,869",4/5,25,97
ハイスクール DxD NEW FIGHT,https://psnprofiles.com/guide/2105-%E3%83%8F%E3%82%A4%E3%82%B9%E3%82%AF%E3%83%BC%E3%83%AB-dxd-new-fight-trophy-guide,Vita,3/10,150,15.58%,"5,829",,0,5
Middle-earth: Shadow of Mordor,https://psnprofiles.com/guide/1697-middle-earth-shadow-of-mordor-trophy-guide,PS4,3/10,25,15.61%,"285,603",5/5,67,578
Ghostbusters: Spirits Unleashed,https://psnprofiles.com/guide/18016-ghostbusters-spirits-unleashed-trophy-guide,PS4,3/10,20,15.64%,"7,747",,0,4
Shenmue III,https://psnprofiles.com/guide/9426-shenmue-iii-trophy-guide,PS4,3/10,40,15.66%,"79,128",5/5,16,50
Lost Dimension,https://psnprofiles.com/guide/3262-lost-dimension-trophy-guide,PS3,3/10,50,15.66%,"17,068",,0,28
Honkai: Star Rail,https://psnprofiles.com/guide/17815-honkai-star-rail-trophy-guide,PS5,3/10,100,15.71%,"57,538",5/5,28,48
FIA European Truck Racing Championship,https://psnprofiles.com/guide/14988-fia-european-truck-racing-championship-trophy-guide,PS4,3/10,20,15.88%,"13,541",5/5,5,14
LEGO Batman 3: Beyond Gotham,https://psnprofiles.com/guide/15660-lego-batman-3-beyond-gotham-trophy-guide,PS4,3/10,25,15.97%,"55,820",5/5,9,96
Shantae: Half-Genie Hero,https://psnprofiles.com/guide/5503-shantae-half-genie-hero-trophy-guide,PS4,3/10,10,16.06%,"43,264",5/5,6,58
American Fugitive,https://psnprofiles.com/guide/8697-american-fugitive-trophy-guide,PS4,3/10,18,16.09%,"52,206",5/5,12,22
OneeChanbara Origin,https://psnprofiles.com/guide/11118-oneechanbara-origin-trophy-guide,PS4,3/10,25,16.23%,"61,406",4/5,15,49
Rage 2,https://psnprofiles.com/guide/10547-rage-2-trophy-guide,PS4,3/10,25,16.24%,"91,819",5/5,21,98
Sakura Wars,https://psnprofiles.com/guide/10090-sakura-wars-trophy-guide,PS4,3/10,40,16.27%,"80,252",5/5,12,73
The Mark of Kri,https://psnprofiles.com/guide/3671-the-mark-of-kri-trophy-guide,PS4,3/10,15,16.38%,"20,867",4/5,6,26
X-Blades,https://psnprofiles.com/guide/3420-x-blades-trophy-guide,PS3,3/10,20,16.48%,"11,866",,0,25
Risk of Rain 2,https://psnprofiles.com/guide/9841-risk-of-rain-2-trophy-guide,PS4,3/10,15,16.49%,"74,262",4/5,30,37
Assassin's Creed Liberation,https://psnprofiles.com/guide/12621-assassins-creed-liberation-trophy-guide,PS4,3/10,15,16.50%,"115,823",4/5,26,114
Erica,https://psnprofiles.com/guide/9027-erica-trophy-guide,PS4,3/10,9,16.54%,"294,425",4/5,32,241
Wild Arms 2,https://psnprofiles.com/guide/16818-wild-arms-2-trophy-guide,PS5,3/10,40,16.72%,"16,756",,0,19
Hyperdimension Neptunia Victory,https://psnprofiles.com/guide/3256-hyperdimension-neptunia-victory-trophy-guide,PS3,3/10,55,16.74%,"15,729",5/5,9,41
Nobody Saves the World,https://psnprofiles.com/guide/18422-nobody-saves-the-world-trophy-guide,PS5,3/10,35,16.86%,"36,614",5/5,9,50
Uncharted: Drake's Fortune,https://psnprofiles.com/guide/2092-uncharted-drakes-fortune-trophy-guide,PS3,3/10,30,16.87%,"92,214",5/5,42,191
Nickelodeon Kart Racers,https://psnprofiles.com/guide/11469-nickelodeon-kart-racers-trophy-guide,PS4,3/10,20,16.88%,"31,538",,0,12
The Riftbreaker,https://psnprofiles.com/guide/13896-the-riftbreaker-trophy-guide,PS5,3/10,50,17.00%,"13,586",,0,8
Naruto Shippuden: Ultimate Ninja Storm Revolution,https://psnprofiles.com/guide/10419-naruto-shippuden-ultimate-ninja-storm-revolution-trophy-guide,PS3,3/10,30,17.08%,"20,356",4/5,7,12
The Outlast Trials,https://psnprofiles.com/guide/18983-the-outlast-trials-trophy-guide,PS5,3/10,25,17.10%,"12,886",5/5,6,13
Bullet Girls 2,https://psnprofiles.com/guide/4395-bullet-girls-2-trophy-guide,Vita,3/10,35,17.25%,"6,031",5/5,5,8
Dark Cloud,https://psnprofiles.com/guide/3705-dark-cloud-trophy-guide,PS4,3/10,20,17.27%,"75,379",5/5,16,125
The Cruel King and the Great Hero,https://psnprofiles.com/guide/14064-the-cruel-king-and-the-great-hero-trophy-guide,PS4,3/10,40,17.28%,"16,275",,0,6
Ride,https://psnprofiles.com/guide/11025-ride-trophy-guide,PS4,3/10,20,17.31%,"13,797",,0,4
Superliminal,https://psnprofiles.com/guide/14685-superliminal-trophy-guide,PS4,3/10,5,17.41%,"73,415",,0,85
Bullet Girls,https://psnprofiles.com/guide/2049-bullet-girls-trophy-guide,Vita,3/10,25,17.58%,"6,384",5/5,7,14
Sea of Stars,https://psnprofiles.com/guide/17640-sea-of-stars-trophy-guide,PS5,3/10,40,17.62%,"166,003",5/5,33,156
LEGO Batman 2: DC Super Heroes,https://psnprofiles.com/guide/8468-lego-batman-2-dc-super-heroes-trophy-guide,PS3,3/10,20,17.63%,"33,894",5/5,13,58
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,https://psnprofiles.com/guide/8332-naruto-shippuden-ultimate-ninja-storm-3-full-burst-trophy-guide,PS4,3/10,34,17.71%,"104,180",5/5,19,93
Achilles: Legends Untold,https://psnprofiles.com/guide/18490-achilles-legends-untold-trophy-guide,PS5,3/10,15,17.73%,"6,756",,0,9
Square Heroes,https://psnprofiles.com/guide/4940-square-heroes-trophy-guide,PS4,3/10,6,17.87%,"9,716",,0,15
Assassin's Creed Rogue,https://psnprofiles.com/guide/3601-assassins-creed-rogue-trophy-guide,PS3,3/10,35,17.95%,"253,272",5/5,30,280
The Darkness II,https://psnprofiles.com/guide/42-the-darkness-ii-trophy-guide,PS3,3/10,15,18.03%,"44,282",5/5,17,76
Wattam,https://psnprofiles.com/guide/14844-wattam-trophy-guide,PS4,3/10,10,18.05%,"9,912",,0,14
One More Dungeon,https://psnprofiles.com/guide/6794-one-more-dungeon-trophy-guide,Vita,3/10,5,18.08%,"25,831",,0,21
I Am Setsuna,https://psnprofiles.com/guide/6878-i-am-setsuna-trophy-guide,PS4 Vita,3/10,35,18.08%,"76,949",5/5,15,62
EA Sports WRC,https://psnprofiles.com/guide/17977-ea-sports-wrc-trophy-guide,PS5,3/10,25,18.09%,"17,877",5/5,7,21
Jettomero,https://psnprofiles.com/guide/17375-jettomero-trophy-guide,PS4,3/10,5,18.20%,"1,414",,0,2
Disgaea 6 Complete,https://psnprofiles.com/guide/14849-disgaea-6-complete-trophy-guide,PS5,3/10,75,18.22%,"21,644",,0,16
Do Not Feed The Monkeys,https://psnprofiles.com/guide/10918-do-not-feed-the-monkeys-trophy-guide,PS4,3/10,25,18.30%,"15,148",,0,10
Utawarerumono: Mask of Deception,https://psnprofiles.com/guide/6393-utawarerumono-mask-of-deception-trophy-guide,PS4 Vita,3/10,70,18.32%,"39,694",5/5,7,38
The Guy VR,https://psnprofiles.com/guide/18839-the-guy-vr-trophy-guide,PS4 VR,3/10,5,18.34%,"1,355",,0,1
Minecraft Dungeons,https://psnprofiles.com/guide/10289-minecraft-dungeons-trophy-guide,PS4,3/10,20,18.34%,"158,679",5/5,27,150
Rustler,https://psnprofiles.com/guide/13987-rustler-trophy-guide,PS4,3/10,20,18.38%,"20,923",,0,11
Valthirian Arc: Hero School Story,https://psnprofiles.com/guide/10094-valthirian-arc-hero-school-story-trophy-guide,PS4,3/10,18,18.41%,"27,687",5/5,6,12
The Crew Motorfest,https://psnprofiles.com/guide/17736-the-crew-motorfest-trophy-guide,PS5,3/10,30,18.66%,"53,564",5/5,17,53
Subnautica,https://psnprofiles.com/guide/10701-subnautica-trophy-guide,PS4,3/10,40,18.66%,"345,407",5/5,65,277
LEGO Marvel Super Heroes,https://psnprofiles.com/guide/3843-lego-marvel-super-heroes-trophy-guide,PS4,3/10,40,18.66%,"57,594",5/5,37,176
Hyperdimension Neptunia Re;Birth1,https://psnprofiles.com/guide/3322-hyperdimension-neptunia-rebirth1-trophy-guide,Vita,3/10,45,18.66%,"35,845",5/5,24,87
Secret of Mana,https://psnprofiles.com/guide/7127-secret-of-mana-trophy-guide,PS4 Vita,3/10,25,18.86%,"102,615",5/5,13,89
Dirt 5,https://psnprofiles.com/guide/11801-dirt-5-trophy-guide,PS5,3/10,25,18.93%,"191,019",5/5,31,156
Dusk Diver 2,https://psnprofiles.com/guide/15124-dusk-diver-2-trophy-guide,PS5,3/10,30,18.95%,"8,996",,0,16
The Talos Principle II,https://psnprofiles.com/guide/17976-the-talos-principle-ii-trophy-guide,PS5,3/10,30,19.02%,"32,812",5/5,10,20
Gotham Knights,https://psnprofiles.com/guide/15441-gotham-knights-trophy-guide,PS5,3/10,40,19.02%,"167,527",4/5,38,172
Tamashii,https://psnprofiles.com/guide/11939-tamashii-trophy-guide,PS4,3/10,5,19.03%,"3,299",,0,1
Pyre,https://psnprofiles.com/guide/6598-pyre-trophy-guide,PS4,3/10,15,19.05%,"41,638",4/5,14,54
Mato Anomalies,https://psnprofiles.com/guide/17813-mato-anomalies-trophy-guide,PS5,3/10,25,19.14%,"5,548",,0,8
Rugby World Cup 2015,https://psnprofiles.com/guide/5125-rugby-world-cup-2015-trophy-guide,PS3,3/10,6,19.20%,"8,811",,0,4
Dungeon Munchies,https://psnprofiles.com/guide/18881-dungeon-munchies-trophy-guide,PS5,3/10,12,19.21%,"1,200",,0,5
Sly Cooper and the Thievius Raccoonus,https://psnprofiles.com/guide/19742-sly-cooper-and-the-thievius-raccoonus-trophy-guide,PS5,3/10,10,19.45%,"6,964",,0,18
Project Highrise,https://psnprofiles.com/guide/12952-project-highrise-trophy-guide,PS4,3/10,30,19.50%,"9,178",,0,7
Ratchet & Clank: A Crack in Time,https://psnprofiles.com/guide/5048-ratchet-clank-a-crack-in-time-trophy-guide,PS3,3/10,25,19.61%,"92,565",4/5,29,126
Crayola Scoot,https://psnprofiles.com/guide/8349-crayola-scoot-trophy-guide,PS4,3/10,10,19.69%,"14,594",5/5,6,12
Ratchet & Clank,https://psnprofiles.com/guide/4315-ratchet-clank-trophy-guide,PS4,3/10,25,19.69%,"773,429",5/5,228,"1,095"
Valley,https://psnprofiles.com/guide/4987-valley-trophy-guide,PS4,3/10,10,19.70%,"29,690",4/5,14,28
Yooka-Laylee,https://psnprofiles.com/guide/7178-yooka-laylee-trophy-guide,PS4,3/10,25,19.77%,"56,229",5/5,11,66
Final Fantasy XIII-2,https://psnprofiles.com/guide/3837-final-fantasy-xiii-2-trophy-guide,PS3,3/10,60,19.86%,"67,328",4/5,31,128
Uncharted: The Lost Legacy,https://psnprofiles.com/guide/6375-uncharted-the-lost-legacy-trophy-guide,PS4,3/10,20,19.90%,"349,550",5/5,139,491
Danganronpa: Trigger Happy Havoc,https://psnprofiles.com/guide/2230-danganronpa-trigger-happy-havoc-trophy-guide,Vita,3/10,50,20.00%,"85,195",5/5,29,144
Super Blood Hockey,https://psnprofiles.com/guide/11022-super-blood-hockey-trophy-guide,PS4,3/10,15,20.02%,"7,098",,0,10
Shantae and the Seven Sirens,https://psnprofiles.com/guide/10305-shantae-and-the-seven-sirens-trophy-guide,PS4,3/10,15,20.24%,"34,309",5/5,5,21
Valkyria Chronicles 4,https://psnprofiles.com/guide/7805-valkyria-chronicles-4-trophy-guide,PS4,3/10,60,20.27%,"166,652",4/5,23,80
Amnesia: The Bunker,https://psnprofiles.com/guide/18138-amnesia-the-bunker-trophy-guide,PS4,3/10,10,20.34%,"6,902",,0,9
Danganronpa Another Episode: Ultra Despair Girls,https://psnprofiles.com/guide/3293-danganronpa-another-episode-ultra-despair-girls-trophy-guide,Vita,3/10,30,20.37%,"59,723",5/5,18,87
LEGO Star Wars: The Force Awakens,https://psnprofiles.com/guide/4602-lego-star-wars-the-force-awakens-trophy-guide,PS4,3/10,24,20.48%,"87,311",5/5,37,153
The Godfather II,https://psnprofiles.com/guide/6065-the-godfather-ii-trophy-guide,PS3,3/10,15,20.53%,"29,409",5/5,14,52
